日期,年,季,月,日,年度名称,季度名称,年度季度,年季编号,月份名称,英文月份,年度月份,年月编号,年度第几日,星期编号,星期英文,年度第几周,周编号,年周,日期编码,CN节假日判断,CN节假日名称,农历日期,农历年,农历月日
2022-01-01,2022,1,1,1,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,1,星期六,Saturday,1,W1,2022W1,20220101,是,元旦,二零二一年十一月二十九 辛丑年 (牛年),二零二一年,十一月二十九
2022-01-02,2022,1,1,2,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,2,星期日,Sunday,1,W1,2022W1,20220102,是,元旦,二零二一年十一月三十 辛丑年 (牛年),二零二一年,十一月三十
2022-01-03,2022,1,1,3,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,3,星期一,Monday,2,W2,2022W2,20220103,是,元旦,二零二一年腊月初一 辛丑年 (牛年),二零二一年,腊月初一
2022-01-04,2022,1,1,4,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,4,星期二,Tuesday,2,W2,2022W2,20220104,否,工作日,二零二一年腊月初二 辛丑年 (牛年),二零二一年,腊月初二
2022-01-05,2022,1,1,5,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,5,星期三,Wednesday,2,W2,2022W2,20220105,否,工作日,二零二一年腊月初三 辛丑年 (牛年),二零二一年,腊月初三
2022-01-06,2022,1,1,6,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,6,星期四,Thursday,2,W2,2022W2,20220106,否,工作日,二零二一年腊月初四 辛丑年 (牛年),二零二一年,腊月初四
2022-01-07,2022,1,1,7,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,7,星期五,Friday,2,W2,2022W2,20220107,否,工作日,二零二一年腊月初五 辛丑年 (牛年),二零二一年,腊月初五
2022-01-08,2022,1,1,8,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,8,星期六,Saturday,2,W2,2022W2,20220108,是,周末,二零二一年腊月初六 辛丑年 (牛年),二零二一年,腊月初六
2022-01-09,2022,1,1,9,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,9,星期日,Sunday,2,W2,2022W2,20220109,是,周末,二零二一年腊月初七 辛丑年 (牛年),二零二一年,腊月初七
2022-01-10,2022,1,1,10,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,10,星期一,Monday,3,W3,2022W3,20220110,否,工作日,二零二一年腊月初八 辛丑年 (牛年),二零二一年,腊月初八
2022-01-11,2022,1,1,11,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,11,星期二,Tuesday,3,W3,2022W3,20220111,否,工作日,二零二一年腊月初九 辛丑年 (牛年),二零二一年,腊月初九
2022-01-12,2022,1,1,12,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,12,星期三,Wednesday,3,W3,2022W3,20220112,否,工作日,二零二一年腊月初十 辛丑年 (牛年),二零二一年,腊月初十
2022-01-13,2022,1,1,13,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,13,星期四,Thursday,3,W3,2022W3,20220113,否,工作日,二零二一年腊月十一 辛丑年 (牛年),二零二一年,腊月十一
2022-01-14,2022,1,1,14,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,14,星期五,Friday,3,W3,2022W3,20220114,否,工作日,二零二一年腊月十二 辛丑年 (牛年),二零二一年,腊月十二
2022-01-15,2022,1,1,15,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,15,星期六,Saturday,3,W3,2022W3,20220115,是,周末,二零二一年腊月十三 辛丑年 (牛年),二零二一年,腊月十三
2022-01-16,2022,1,1,16,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,16,星期日,Sunday,3,W3,2022W3,20220116,是,周末,二零二一年腊月十四 辛丑年 (牛年),二零二一年,腊月十四
2022-01-17,2022,1,1,17,Y2022,Q1,Y2022Q1,20221,一月,January,202201,1,17,星期一,Monday,4,W4,2022W4,20220117,否,工作日,二零二一年腊月十五 辛丑年 (牛年),二零二一年,腊月十五
